title,link,video_id,channel,views,snippet,length_str,parsed_length,parsed_views
Codie Sanchez: They're Lying To You About How To Get Rich! How To Turn $0 Into $1M!,https://www.youtube.com/watch?v=IYu_PDPqKFc,IYu_PDPqKFc,The Diary Of A CEO,"2,189,823 views",,2:03:31,7411,2189823
The 3 MONEY MYTHS That Keep You Poor! (How To Build Wealth) | Jaspreet Singh & Jay Shetty,https://www.youtube.com/watch?v=Y3WmxC9uyns,Y3WmxC9uyns,Jay Shetty Podcast,"2,227,012 views",,1:11:41,4301,2227012
Mel Robbins: The ‘Let Them Theory’ (A Life-Changing Hack That 15M People Can’t Stop Talking About),https://www.youtube.com/watch?v=P91b4civBxA,P91b4civBxA,Jay Shetty Podcast,"917,941 views",,1:23:57,5037,917941
A 58 Year Old Self-Made Millionaire Shares Her Best Life Advice,https://www.youtube.com/watch?v=FItRprBYYTA,FItRprBYYTA,Sprouht,"2,735,641 views",,16:14,974,2735641
Scott Galloway: The ONLY Savings Strategy You Need In Your 20s & 30s (Start With 3%),https://www.youtube.com/watch?v=wmtCENAmYmU,wmtCENAmYmU,Jay Shetty Podcast,"278,814 views",,1:29:45,5385,278814
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,218 views",,1:22:08,4928,820218
The SUGAR Expert: Everything You Need To Know About Glucose Spikes (& 5 HACKS TO PREVENT THEM),https://www.youtube.com/watch?v=MxovSnvSO4E,MxovSnvSO4E,Jay Shetty Podcast,"3,732,974 views",,1:11:11,4271,3732974
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,130,865 views",,2:38:50,9530,2130865
"5 Rules of Money: How to Make It, Save It, & Be Smarter About It",https://www.youtube.com/watch?v=x6S63406raY,x6S63406raY,Mel Robbins,"1,159,995 views",,1:29:29,5369,1159995
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,594 views",,1:32:04,5524,31594
"Simon Sinek & Trevor Noah on Friendship, Loneliness, Vulnerability, and More | Full Conversation",https://www.youtube.com/watch?v=CNBxIhxHHxM,CNBxIhxHHxM,Simon Sinek,"2,850,148 views",,24:00,1440,2850148
Trick That Makes People Respect You In Seconds! Secret Agent Evy Poumpouras,https://www.youtube.com/watch?v=FtHa9qxjmok,FtHa9qxjmok,The Diary Of A CEO Clips,"365,367 views",,25:47,1547,365367
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"369,712 views",,57:11,3431,369712
Shark Tank Host: My Parents & I Escaped Communism With $20! THIS Unlocked Wealth for Me!,https://www.youtube.com/watch?v=M2e0WeBCYIs,M2e0WeBCYIs,Lewis Howes,"277,558 views",,1:11:58,4318,277558
The Fastest Way To Lose Belly Fat (THIS Is The Best Kept Weight Loss Secret) | Dr. Mindy Pelz,https://www.youtube.com/watch?v=bL2J_657prk,bL2J_657prk,Jay Shetty Podcast,"1,116,027 views",,1:29:01,5341,1116027
Tipping: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=89R9ZxKaIOw,89R9ZxKaIOw,LastWeekTonight,"2,729,515 views",,24:55,1495,2729515
The Savings Expert: Are You Under 45? You Won't Get A Pension! Don't Buy A House! - Jaspreet Singh,https://www.youtube.com/watch?v=RSyX_665sEw,RSyX_665sEw,The Diary Of A CEO,"4,683,870 views",,2:28:47,8927,4683870
Communicate with Confidence: The Blueprint for Mastering Every Conversation,https://www.youtube.com/watch?v=ZUCB3M_1Qp4,ZUCB3M_1Qp4,Mel Robbins,"2,211,549 views",,59:00,3540,2211549
Morgan Housel: Understand & Apply the Psychology of Money to Gain Greater Happiness,https://www.youtube.com/watch?v=z5W74QC3v2I,z5W74QC3v2I,Andrew Huberman,"582,193 views",,2:15:36,8136,582193
Secret Service Agent: REMOVE PEOPLE From Your Life if They Have THESE RED FLAGS! Evy Poumpouras,https://www.youtube.com/watch?v=YXH_O2FHqpo,YXH_O2FHqpo,Lewis Howes,"1,978,859 views",,57:16,3436,1978859
"Mel Robbins ON: If You STRUGGLE With Stress & Anxiety, This Will CHANGE Your Life! | Jay Shetty",https://www.youtube.com/watch?v=LhYRD0XmzOU,LhYRD0XmzOU,Jay Shetty Podcast,"3,128,729 views",,1:26:23,5183,3128729
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"369,712 views",,57:11,3431,369712
How To Handle Difficult People & Take Back Your Peace and Power,https://www.youtube.com/watch?v=XhBp6GZzH6k,XhBp6GZzH6k,Mel Robbins,"219,026 views",,50:59,3059,219026
How to let go of what you can’t control.,https://www.youtube.com/watch?v=CGvfAoFsdEk,CGvfAoFsdEk,Mel Robbins,"301,653 views",,45:15,2715,301653
How To Let Go Of The Things That Are Draining Your Energy | Mel Robbins Podcast Clips,https://www.youtube.com/watch?v=kIFE3ZF2KlU,kIFE3ZF2KlU,The Mel Robbins Podcast Clips,"1,344 views",,15:02,902,1344
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,487,104 views",,1:18:54,4734,1487104
A 75 Year Old Self-Made Millionaire Shares Her Best Life Advice - Barbara Corcoran,https://www.youtube.com/watch?v=G7wv8hzjnWA,G7wv8hzjnWA,Sprouht,"2,195,997 views",,19:30,1170,2195997
Change Your Mindset ft. Mel Robbins | Khloé in Wonder Land Episode 3 | Khloé Kardashian,https://www.youtube.com/watch?v=_QhA6n5Axy4,_QhA6n5Axy4,Khloe Kardashian,"556,708 views",,55:24,3324,556708
"Eat THIS to Lose Fat, Prevent Disease, & Feel Better Now With Dr. William Li",https://www.youtube.com/watch?v=WSBVq3Wj7Lg,WSBVq3Wj7Lg,Mel Robbins,"537,197 views",,1:32:44,5564,537197
Dr. Joe Dispenza: WATCH THIS To Rewire Your Brain & ATTRACT Anything You Want,https://www.youtube.com/watch?v=F-MEegYIWaM,F-MEegYIWaM,Jay Shetty Podcast,"1,136,598 views",,1:14:51,4491,1136598
"Dating Coach: This Dating Habit Is Keeping You Single! If You Want a Relationship, Do THIS.",https://www.youtube.com/watch?v=Tw_e9YdRXDg,Tw_e9YdRXDg,Jay Shetty Podcast,"113,456 views",,1:12:41,4361,113456
WATCH THIS EVERY DAY To Brainwash Yourself For SUCCESS & ABUNDANCE! | Joe Dispenza & Jay Shetty,https://www.youtube.com/watch?v=4qykb6jKXdo,4qykb6jKXdo,Jay Shetty Podcast,"6,488,169 views",,20:25,1225,6488169
Change Your Body & Your Life in 1 Month: 4 Small Habits That Actually Work,https://www.youtube.com/watch?v=mMHNvy9pFj0,mMHNvy9pFj0,Mel Robbins,"315,202 views",,1:43:45,6225,315202
Joe Rogan shocked as Elon Musk exposes the biggest scam in human history on his podcast,https://www.youtube.com/watch?v=9t4wHZ5cjk4,9t4wHZ5cjk4,Sky News Australia,"815,656 views",,8:47,527,815656
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,218 views",,1:22:08,4928,820218
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,594 views",,1:32:04,5524,31594
Joe Rogan Experience #2281 - Elon Musk,https://www.youtube.com/watch?v=sSOxPJD-VNo,sSOxPJD-VNo,PowerfulJRE,"9,949,193 views",,3:11:08,11468,9949193
Mel Robbins: The 'Let Them Theory' (Transform Your Life by Creating Boundaries + Unlocking Peace),https://www.youtube.com/watch?v=9OsNWnZJXrs,9OsNWnZJXrs,Lewis Howes,"231,761 views",,1:17:53,4673,231761
Mel Robbins: This One Hack Will Unlock Your Happier Life | E108,https://www.youtube.com/watch?v=0kOtvoX88J0,0kOtvoX88J0,The Diary Of A CEO,"3,527,653 views",,1:58:59,7139,3527653
This Man Discovered How To REVERSE AGING & Make Himself 31 Years Younger (Data-Proven) @BryanJohnson,https://www.youtube.com/watch?v=NIlPPC6sV9U,NIlPPC6sV9U,Jay Shetty Podcast,"335,598 views",,1:27:28,5248,335598
Make Him DESIRE YOU! - The 5 Things Men Find IRRESISTIBLE In Women!,https://www.youtube.com/watch?v=yr5O5487RiM,yr5O5487RiM,Stephan Speaks,"1,367,856 views",,1:05:42,3942,1367856
"If A Man DEEPLY LOVES YOU, He Will DO THESE 3 Things! | Stephan Speaks & Lewis Howes",https://www.youtube.com/watch?v=ofzTcfQBnWw,ofzTcfQBnWw,Lewis Howes,"2,307,064 views",,2:03:00,7380,2307064
The Charisma Teacher: Psychology Of Why People Don't Like You! People Are Attracted To These Traits!,https://www.youtube.com/watch?v=zg4Ta7vXiIM,zg4Ta7vXiIM,The Diary Of A CEO,"1,506,733 views",,2:14:23,8063,1506733
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,218 views",,1:22:08,4928,820218
6 Love Experts Share Their Top Dating & Relationship Advice (Compilation Episode),https://www.youtube.com/watch?v=s9wXFKeUJzo,s9wXFKeUJzo,Jay Shetty Podcast,"118,488 views",,32:30,1950,118488
LOVE EXPERT: Why Smart and Successful Women Have Less Success in Dating@MeetStephanSpeaks,https://www.youtube.com/watch?v=XtzbgvtsApE,XtzbgvtsApE,Jay Shetty Podcast,"179,470 views",,1:27:15,5235,179470
The 3 KEY SIGNS That Relationship Will Last! (How To Find Love) | Lewis Howes & Jay Shetty,https://www.youtube.com/watch?v=EDN9UAyPEZ0,EDN9UAyPEZ0,Jay Shetty Podcast,"618,810 views",,56:29,3389,618810
5 HUGE SIGNS He’s Emotionally INVESTED In You!,https://www.youtube.com/watch?v=_uvW0SlvEgU,_uvW0SlvEgU,Stephan Speaks,"451,461 views",,22:27,1347,451461
The Red Flags You Keep Ignoring! (Don’t Let Men Treat You Like This!!) - Sadia Khan & Matthew Hussey,https://www.youtube.com/watch?v=IdyLRtakrzo,IdyLRtakrzo,Lewis Howes,"776,950 views",,53:29,3209,776950
"Leading Neuroscientist: Stress Leaks Through Skin, Is Contagious, Gives You Belly Fat! Dr Tara Swart",https://www.youtube.com/watch?v=hCW2NHbWNwA,hCW2NHbWNwA,The Diary Of A CEO,"15,778,831 views",,2:04:34,7474,15778831
The ONE Trick You Need to Master to Live a Peaceful and Fulfilled Life | The Let Them Theory,https://www.youtube.com/watch?v=d4z5C8G32AY,d4z5C8G32AY,Mel Robbins,"1,660,672 views",,53:59,3239,1660672
#1 LOVE Therapist: This Relationship Mistake Is HURTING Your Intimacy & Sex Life | Esther Perel,https://www.youtube.com/watch?v=eahzk9k8ax8,eahzk9k8ax8,Lewis Howes,"336,767 views",,59:24,3564,336767
'REALLY SET HIM OFF': VP Vance explains Zelenskyy clash,https://www.youtube.com/watch?v=T0RHvRh2OD0,T0RHvRh2OD0,Fox News,"139,492 views",,22:10,1330,139492
"""He Will Think About You A Lot!"" - 5 Things Men Find IRRESISTIBLE In Women | Stephan Speaks",https://www.youtube.com/watch?v=7rffvpICSlg,7rffvpICSlg,Lisa Bilyeu,"2,590,849 views",,1:56:38,6998,2590849
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,130,865 views",,2:38:50,9530,2130865
"If He's Not Serious, STOP CHASING & Do This Instead... | RC Blakes",https://www.youtube.com/watch?v=EkeGG-LW7TE,EkeGG-LW7TE,Lisa Bilyeu,"3,115,837 views",,16:58,1018,3115837
"The Love Expert: Why Women Are Addicted To Toxic Men,""Have A Boring Relationship Instead!"" Logan Ury",https://www.youtube.com/watch?v=ow3ao6YsCgQ,ow3ao6YsCgQ,The Diary Of A CEO,"3,248,389 views",,1:48:34,6514,3248389
"Relationship Expert: “I’ve Met With Over 10,000 Women. If This Happens, She Will Leave Him!”",https://www.youtube.com/watch?v=fvXCMNTJU-U,fvXCMNTJU-U,Lewis Howes,"219,195 views",,1:09:20,4160,219195
"Dating Coach: This Dating Habit Is Keeping You Single! If You Want a Relationship, Do THIS.",https://www.youtube.com/watch?v=Tw_e9YdRXDg,Tw_e9YdRXDg,Jay Shetty Podcast,"113,456 views",,1:12:41,4361,113456
This Statistically Is The Best Age To Get Married So You Don't Get A Divorce!,https://www.youtube.com/watch?v=SNuHbJbuUZE,SNuHbJbuUZE,The Diary Of A CEO,"1,333,662 views",,1:49:07,6547,1333662
5 Foods that Help Anxiety,https://www.youtube.com/watch?v=62EVDg6FPLg,62EVDg6FPLg,Julia Kristina Counselling,"48,835 views",,12:47,767,48835
Trauma and the Body Psychodrama Video,https://www.youtube.com/watch?v=WmkKn3WjzCA,WmkKn3WjzCA,PsychotherapyNet,"23,768 views",,4:55,295,23768
#1 Parenting Psychologist: What Is Over-Parenting & Are You Doing It?,https://www.youtube.com/watch?v=Jyk0fwKF9Y0,Jyk0fwKF9Y0,Jay Shetty Podcast,"476,856 views",,1:10:56,4256,476856
The No.1 Brain Doctor: This Parenting Mistake Ruins Your Kids Brain & Alcohol Will Ruin Yours!,https://www.youtube.com/watch?v=bOi_Y4ythYY,bOi_Y4ythYY,The Diary Of A CEO,"1,198,039 views",,2:18:10,8290,1198039
DO THIS Everyday To Completely Heal Your BODY & MIND | Dr. Daniel Amen & Jay Shetty,https://www.youtube.com/watch?v=90bxNpimtb8,90bxNpimtb8,Jay Shetty Podcast,"3,331,689 views",,1:09:47,4187,3331689
This Parenting Mistake Ruins Your Kids Brains! How To Raise Mentally Strong Kids: No.1 Brain Doctor,https://www.youtube.com/watch?v=__3V1eRX9bU,__3V1eRX9bU,The Diary Of A CEO Clips,"654,684 views",,10:30,630,654684
10 Things Parents Should Never Do (& What To Do To Build Confidence),https://www.youtube.com/watch?v=6-eCA8-qvO8,6-eCA8-qvO8,AmenClinics,"34,675 views",,44:16,2656,34675
The Dream Expert: What Your Dreams Are Trying to Tell You (The Ultimate Dream Interpretation Guide),https://www.youtube.com/watch?v=T30Ul9AiIfs,T30Ul9AiIfs,Jay Shetty Podcast,"1,253,158 views",,1:40:56,6056,1253158
The Fastest Way To Lose Belly Fat (THIS Is The Best Kept Weight Loss Secret) | Dr. Mindy Pelz,https://www.youtube.com/watch?v=bL2J_657prk,bL2J_657prk,Jay Shetty Podcast,"1,116,038 views",,1:29:01,5341,1116038
The Keys To Raising Resilient Children | Erica Komisar,https://www.youtube.com/watch?v=7LgRztPiZO0,7LgRztPiZO0,Alliance for Responsible Citizenship,"351,894 views",,20:55,1255,351894
Dr. Daniel Amen on the #1 Foundation to Raising Mentally Strong Kids,https://www.youtube.com/watch?v=FXLzyBJUZjs,FXLzyBJUZjs,AmenClinics,"814,601 views",,14:52,892,814601
"The ADHD Doctor: “I’ve Scanned 250,000 Brains” You (Steven Bartlett) Have ADHD!!! Dr Daniel Amen",https://www.youtube.com/watch?v=ycTZ_t-aiuU,ycTZ_t-aiuU,The Diary Of A CEO,"6,950,132 views",,1:49:14,6554,6950132
DO THIS Daily Habit To Manifest ABUNDANCE & SUCCESS! | Vishen Lakhiani & Jay Shetty,https://www.youtube.com/watch?v=-d1dvrj_fMk,-d1dvrj_fMk,Jay Shetty Podcast,"2,908,344 views",,54:23,3263,2908344
Planting the Seeds of Success in Your Kids (Part 1) - Dr. Kevin Leman,https://www.youtube.com/watch?v=B3FU5QvzbHM,B3FU5QvzbHM,Focus on the Family,"363,191 views",,27:06,1626,363191
Dr. Becky Kennedy: Protocols for Excellent Parenting & Improving Relationships of All Kinds,https://www.youtube.com/watch?v=XT_6Lvkhxvo,XT_6Lvkhxvo,Andrew Huberman,"1,614,573 views",,2:54:02,10442,1614573
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,487,104 views",,1:18:54,4734,1487104
#1 Neurosurgeon: How to Manifest Anything You Want & Unlock the Unlimited Power of Your Mind,https://www.youtube.com/watch?v=s-wONyk3RV0,s-wONyk3RV0,Mel Robbins,"2,083,513 views",,1:16:30,4590,2083513
The Truth About ADHD. | Dr Daniel Amen,https://www.youtube.com/watch?v=71VOit3m8_o,71VOit3m8_o,The Diary Of A CEO Clips,"879,838 views",,12:44,764,879838
STOP These 5 Habits That Are Destroying Your Brain! | Dr Daniel Amen,https://www.youtube.com/watch?v=zBxcXstvlpc,zBxcXstvlpc,The Diary Of A CEO Clips,"1,104,957 views",,13:05,785,1104957
The Single Most Important Parenting Strategy | Becky Kennedy | TED,https://www.youtube.com/watch?v=PHpPtdk9rco,PHpPtdk9rco,TED,"2,649,352 views",,14:04,844,2649352
BREAKUPS ARE A TEST OF STRENGTH,https://www.youtube.com/watch?v=qMGr9Fs0lzs,qMGr9Fs0lzs,Coach Kyle ,"44,903 views",,11:32,692,44903
4 relationship mistakes i made that cost me a lot,https://www.youtube.com/watch?v=Yt2uKgfmF4E,Yt2uKgfmF4E,Jessica Os,"35,029 views",,9:53,593,35029
WORLD LEADING THERAPIST Answers The Biggest Questions People Ask In Therapy | Lori Gottlieb,https://www.youtube.com/watch?v=b3yAuqcjmJk,b3yAuqcjmJk,Jay Shetty Podcast,"1,765,407 views",,1:11:00,4260,1765407
"Dating Coach: This Dating Habit Is Keeping You Single! If You Want a Relationship, Do THIS.",https://www.youtube.com/watch?v=Tw_e9YdRXDg,Tw_e9YdRXDg,Jay Shetty Podcast,"113,456 views",,1:12:41,4361,113456
"5 Signs Of An Incompatible Relationship & 3 Signs You’ve Found “The One""",https://www.youtube.com/watch?v=qtQg09GLXVc,qtQg09GLXVc,Mel Robbins,"342,346 views",,1:14:28,4468,342346
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"369,712 views",,57:11,3431,369712
"LOVE EXPERT ON: When A Man TRULY LOVES You, He Will DO THIS! | Stephan Speaks & Jay Shetty",https://www.youtube.com/watch?v=mPQBcb9wf8Q,mPQBcb9wf8Q,Jay Shetty Podcast,"7,458,705 views",,1:07:36,4056,7458705
"""I Profile Psychopaths""- These 20 Red Flags Will Make You Question the Man Lying Next to You…",https://www.youtube.com/watch?v=DtX-kah5phQ,DtX-kah5phQ,Lisa Bilyeu,"372,911 views",,1:20:11,4811,372911
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,130,865 views",,2:38:50,9530,2130865
Why Do I Love the Way That I Love: The 4 Attachment Styles Explained,https://www.youtube.com/watch?v=GIkspM20BeY,GIkspM20BeY,Mel Robbins,"675,733 views",,1:15:15,4515,675733
Psychologist Answers Couples Therapy Questions | Tech Support | WIRED,https://www.youtube.com/watch?v=1z7n0S8gi0M,1z7n0S8gi0M,WIRED,"1,605,267 views",,30:40,1840,1605267
The Love Expert: A Relationship Shouldn’t Be Easy! This is One of the Biggest Myths!,https://www.youtube.com/watch?v=v_Z6lpjg_ZI,v_Z6lpjg_ZI,Lewis Howes,"48,127 views",,1:22:29,4949,48127
6 Love Experts Share Their Top Dating & Relationship Advice (Compilation Episode),https://www.youtube.com/watch?v=s9wXFKeUJzo,s9wXFKeUJzo,Jay Shetty Podcast,"118,488 views",,32:30,1950,118488
"Relationship Coach Matthew Hussey: ""There is no such thing as right person, wrong time!""",https://www.youtube.com/watch?v=AIFYrV3yivQ,AIFYrV3yivQ,Jay Shetty Podcast,"845,303 views",,1:25:17,5117,845303
"Robert Greene: ""You won't see it coming""- The 13 Manipulative Tactics Men Use to Keep Women Hooked!",https://www.youtube.com/watch?v=TLbCPi4hG3I,TLbCPi4hG3I,Lisa Bilyeu,"604,847 views",,1:30:38,5438,604847
"#1 Therapist: ""STOP Attracting A**holes & DO THIS...""-Why You CAN'T FIND Genuine Men!| Lori Gottlieb",https://www.youtube.com/watch?v=tZoW9X9ZtK0,tZoW9X9ZtK0,Lisa Bilyeu,"142,160 views",,1:47:27,6447,142160
The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,https://www.youtube.com/watch?v=9gk3mNJs2FY,9gk3mNJs2FY,The Diary Of A CEO,"559,145 views",,1:58:12,7092,559145
This Statistically Is The Best Age To Get Married So You Don't Get A Divorce!,https://www.youtube.com/watch?v=SNuHbJbuUZE,SNuHbJbuUZE,The Diary Of A CEO,"1,333,662 views",,1:49:07,6547,1333662
The Best Relationship Advice No One Ever Told You,https://www.youtube.com/watch?v=cf4ANNIRjdk,cf4ANNIRjdk,Mel Robbins,"1,430,790 views",,45:22,2722,1430790
The Charisma Teacher: Psychology Of Why People Don't Like You! People Are Attracted To These Traits!,https://www.youtube.com/watch?v=zg4Ta7vXiIM,zg4Ta7vXiIM,The Diary Of A CEO,"1,506,733 views",,2:14:23,8063,1506733
Michael B. Jordan EXCLUSIVE: How To Connect With Your Intuition & Focus On Your Path,https://www.youtube.com/watch?v=FlibCSZ93gM,FlibCSZ93gM,Jay Shetty Podcast,"1,112,926 views",,1:23:04,4984,1112926
Scott Galloway: The ONLY Savings Strategy You Need In Your 20s & 30s (Start With 3%),https://www.youtube.com/watch?v=wmtCENAmYmU,wmtCENAmYmU,Jay Shetty Podcast,"278,814 views",,1:29:45,5385,278814
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,130,865 views",,2:38:50,9530,2130865
“Scarcity is an Illusion!” Big Sean’s SECRET to Becoming a Money Magnet,https://www.youtube.com/watch?v=skpzulFjMkc,skpzulFjMkc,Lewis Howes,"225,582 views",,1:39:11,5951,225582
Dr. Joe Dispenza: WATCH THIS To Rewire Your Brain & ATTRACT Anything You Want,https://www.youtube.com/watch?v=F-MEegYIWaM,F-MEegYIWaM,Jay Shetty Podcast,"1,136,619 views",,1:14:51,4491,1136619
The Hidden Art Of Reinventing Yourself - Matthew McConaughey (4K),https://www.youtube.com/watch?v=Eu1kHIztT24,Eu1kHIztT24,Chris Williamson,"1,967,564 views",,1:48:46,6526,1967564
The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,https://www.youtube.com/watch?v=Kl-I7sUcAOY,Kl-I7sUcAOY,The Diary Of A CEO,"1,309,328 views",,3:13:57,11637,1309328
"Bruce Lee: ""Your Greatest Enemy Is Within""",https://www.youtube.com/watch?v=KnppzfiZcgM,KnppzfiZcgM,Bruce Lee Reimagined,"273,139 views",,22:30,1350,273139
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,487,104 views",,1:18:54,4734,1487104
World Leading Psychologist ON Why You’re FAILING and Why Discomfort Will UNLOCK Success | Adam Grant,https://www.youtube.com/watch?v=6y1fcHUOHZI,6y1fcHUOHZI,Jay Shetty Podcast,"522,250 views",,1:25:50,5150,522250
Why Big Sean Made Mental & Physical Health His #1 Priority,https://www.youtube.com/watch?v=Wt9DaPDbgyE,Wt9DaPDbgyE,Shawn Stevenson,"3,901 views",,1:29:32,5372,3901
"Trevor Noah ON: For People Who FEEL LOST In Life, WATCH THIS To Find Yourself |  Jay Shetty",https://www.youtube.com/watch?v=a5BHutz6P-g,a5BHutz6P-g,Jay Shetty Podcast,"3,447,728 views",,1:31:10,5470,3447728
Find Your Life's Purpose By Doing This ONE Thing,https://www.youtube.com/watch?v=aNAZZVVLzAA,aNAZZVVLzAA,Jay Shetty,"100,784 views",,14:28,868,100784
KEVIN HART ON: The SECRET To Success & Happiness NOBODY TALKS ABOUT (Do This In 2023) | Jay Shetty,https://www.youtube.com/watch?v=LAmGfokvgzA,LAmGfokvgzA,Jay Shetty Podcast,"3,530,994 views",,1:36:12,5772,3530994
"Big Sean ON: How To Manifest ABUNDANCE, SUCCESS, & HAPPINESS Into Your Life |  Jay Shetty",https://www.youtube.com/watch?v=PrhZQrn2Q-4,PrhZQrn2Q-4,Jay Shetty Podcast,"737,325 views",,1:27:56,5276,737325
Katt Williams | This Past Weekend w/ Theo Von #558,https://www.youtube.com/watch?v=4oik0NXo0-M,4oik0NXo0-M,Theo Von,"10,137,858 views",,2:34:49,9289,10137858
#1 Neurosurgeon: How to Manifest Anything You Want & Unlock the Unlimited Power of Your Mind,https://www.youtube.com/watch?v=s-wONyk3RV0,s-wONyk3RV0,Mel Robbins,"2,083,513 views",,1:16:30,4590,2083513
ALICIA KEYS Reveals 5 Daily Rituals To Calm Your Nervous System,https://www.youtube.com/watch?v=j0TiKDrT1wc,j0TiKDrT1wc,Jay Shetty Podcast,"382,667 views",,1:32:46,5566,382667
Tony Robbins ON: How To BRAINWASH Yourself For Success & Destroy NEGATIVE THOUGHTS! | Jay Shetty,https://www.youtube.com/watch?v=BwjnG45zO5U,BwjnG45zO5U,Jay Shetty Podcast,"2,906,910 views",,1:33:42,5622,2906910
Out Of Context: Big Sean And Charlamagne Tha God,https://www.youtube.com/watch?v=KyEtWErHUMc,KyEtWErHUMc,CThaGod,"399,585 views",,1:47:02,6422,399585
Most Don't Realise They're Narcissists! You're Setting Your Kids Up For Misery! Manipulation Expert,https://www.youtube.com/watch?v=19_sGcrsWhg,19_sGcrsWhg,The Diary Of A CEO,"547,035 views",,2:42:13,9733,547035
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,594 views",,1:32:04,5524,31594
Childhood Trauma Resolved | Dr. John Delony | EP 307,https://www.youtube.com/watch?v=B_373YVlnDA,B_373YVlnDA,Jordan B Peterson,"2,250,188 views",,1:42:40,6160,2250188
WORLD LEADING THERAPIST Answers Relationship Questions Most People Are Afraid to Ask | Lori Gottlieb,https://www.youtube.com/watch?v=CQ6lqkeQVQ4,CQ6lqkeQVQ4,Jay Shetty Podcast,"820,218 views",,1:22:08,4928,820218
"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",https://www.youtube.com/watch?v=7l_0ZcSuRwg,7l_0ZcSuRwg,The Diary Of A CEO,"2,130,865 views",,2:38:50,9530,2130865
"""Rapidly Growing BLOODBATH!"" Can Trump Still Bring Peace? Feat Jeffrey Sachs vs Francis Fukuyama",https://www.youtube.com/watch?v=jdCc-mhoZXs,jdCc-mhoZXs,Piers Morgan Uncensored,"177,862 views",,1:00:15,3615,177862
Jordan B Peterson: You Need To Listen To Your Wife! We've Built A Lonely & Sexless Society!,https://www.youtube.com/watch?v=Hik6OY-nk4c,Hik6OY-nk4c,The Diary Of A CEO,"1,613,823 views",,2:27:50,8870,1613823
